rank,region,path,score,zone_files,records,dname,cname,wildcard,non_apex_ns,exact_below_dname_target,wildcard_below_dname_target,cname_into_dname,delegation_dname_overlap,chained_dname,source_files
1,bme.hu,/home/data/census1/census/bme.hu,975,75,1422,3,264,0,196,24,0,1,9,0,bme.hu..txt|abr.bme.hu..txt|allasborze.bme.hu..txt|arch.bme.hu..txt|aut.bme.hu..txt|bercsenyi.bme.hu..txt|bgk.bme.hu..txt|ch.bme.hu..txt|ik.bme.hu..txt|cloud.ik.bme.hu..txt|hit.bme.hu..txt|crysys.hit.bme.hu..txt|cs.bme.hu..txt|db.bme.hu..txt|eet.bme.hu..txt|egyeteminapok.bme.hu..txt|emt.bme.hu..txt|epab.bme.hu..txt|epitesz.bme.hu..txt|epiteszhk.bme.hu..txt|eptort.bme.hu..txt|eszk.bme.hu..txt|et.bme.hu..txt|mik.bme.hu..txt|exchange.mik.bme.hu..txt|fot.bme.hu..txt|fsz.bme.hu..txt|gepesz.bme.hu..txt|get.bme.hu..txt|git.bme.hu..txt|iit.bme.hu..txt|hpc.iit.bme.hu..txt|hszk.bme.hu..txt|impulzus.bme.hu..txt|inf.bme.hu..txt|mit.bme.hu..txt|inf.mit.bme.hu..txt|inflab.bme.hu..txt|omikk.bme.hu..txt|info.omikk.bme.hu..txt|tmit.bme.hu..txt|iw.tmit.bme.hu..txt|mx.tmit.bme.hu..txt|kkft.bme.hu..txt|kma.bme.hu..txt|kozlek.bme.hu..txt|kth.bme.hu..txt|ktk.bme.hu..txt|martos.bme.hu..txt|math.bme.hu..txt|medialab.bme.hu..txt|mm.bme.hu..txt|mogi.bme.hu..txt|mokk.bme.hu..txt|mszk.bme.hu..txt|mti.bme.hu..txt|mtt.bme.hu..txt|neptun.bme.hu..txt|phy.bme.hu..txt|pp.bme.hu..txt|rit.bme.hu..txt|sc.bme.hu..txt|sch.bme.hu..txt|simonyi.bme.hu..txt|star.bme.hu..txt|szit.bme.hu..txt|teteny.bme.hu..txt|ttdh.bme.hu..txt|vemt.bme.hu..txt|vik-hk.bme.hu..txt|vik.bme.hu..txt|viking.bme.hu..txt|vjt.bme.hu..txt|vpk.bme.hu..txt|wigner.bme.hu..txt
2,cmu.edu,/home/data/census1/census/cmu.edu,485,91,1835,1,458,0,242,13,0,0,6,0,cmu.edu..txt|cs.cmu.edu..txt|ad.cs.cmu.edu..txt|inf.ad.cs.cmu.edu..txt|scs.ad.cs.cmu.edu..txt|autolab.cs.cmu.edu..txt|fac.cs.cmu.edu..txt|lb.cs.cmu.edu..txt|alumni.cmu.edu..txt|andrew.cmu.edu..txt|exchange-dev.andrew.cmu.edu..txt|exchange.andrew.cmu.edu..txt|qatar.webiso.andrew.cmu.edu..txt|arc.cmu.edu..txt|as.cmu.edu..txt|astmtmc.cmu.edu..txt|win.cmu.edu..txt|astmtmc.win.cmu.edu..txt|cheme.win.cmu.edu..txt|heinz.win.cmu.edu..txt|qatar.win.cmu.edu..txt|bap.cmu.edu..txt|bio.cmu.edu..txt|campusservices.cmu.edu..txt|cbdr.cmu.edu..txt|cbi.cmu.edu..txt|cc.cmu.edu..txt|club.cc.cmu.edu..txt|ccbi.cmu.edu..txt|ce.cmu.edu..txt|cfa.cmu.edu..txt|chem.cmu.edu..txt|cheme.cmu.edu..txt|cit.cmu.edu..txt|cnbc.cmu.edu..txt|compbio.cmu.edu..txt|cylab.cmu.edu..txt|design.cmu.edu..txt|drama.cmu.edu..txt|ece.cmu.edu..txt|ecom.cmu.edu..txt|english.cmu.edu..txt|enrollment.cmu.edu..txt|epp.cmu.edu..txt|etc.cmu.edu..txt|gsia.cmu.edu..txt|hcii.cmu.edu..txt|heinz.cmu.edu..txt|history.cmu.edu..txt|housing.cmu.edu..txt|hss.cmu.edu..txt|ices.cmu.edu..txt|ini.cmu.edu..txt|ism.cmu.edu..txt|iso.cmu.edu..txt|isr.cmu.edu..txt|isri.cmu.edu..txt|itsqc.cmu.edu..txt|library.cmu.edu..txt|logic.cmu.edu..txt|materials.cmu.edu..txt|math.cmu.edu..txt|mbic.cmu.edu..txt|mcs.cmu.edu..txt|me.cmu.edu..txt|mems.cmu.edu..txt|mism.cmu.edu..txt|ml.cmu.edu..txt|msit.cmu.edu..txt|mts.cmu.edu..txt|music.cmu.edu..txt|net.cmu.edu..txt|ote.cmu.edu..txt|pdl.cmu.edu..txt|phil.cmu.edu..txt|phys.cmu.edu..txt|psy.cmu.edu..txt|qatar.cmu.edu..txt|ri.cmu.edu..txt|rec.ri.cmu.edu..txt|res.cmu.edu..txt|scs.cmu.edu..txt|sei.cmu.edu..txt|stat.cmu.edu..txt|studentaffairs.cmu.edu..txt|sv.cmu.edu..txt|tepper.cmu.edu..txt|ua.cmu.edu..txt|vpn.cmu.edu..txt|web.cmu.edu..txt|west.cmu.edu..txt
