candidate_id,region,kind,dfs_executions
3cabdecf4011f72f,bokq.com,SR,3
3d588d289e7f6297,carydigital.com,SR,1
d3581f9760eae7f0,1111c.com,SR,3
a5758102ed19b528,1111c.com,SR,4
9be889f24a9d1f07,cephiretech.net,MG,1
84e8d8e6d7df57b7,cephiretech.net,MG,1
8b12b83a50ceeb97,cephiretech.net,MG,3
12f60b5cdf6e17dd,cephiretech.net,MG,3
f0a99b4f3b6776b6,bloomfieldgardendesign.com,RL,7
7c11b26f7c68da16,bloomfieldgardendesign.com,RL,7
ab604a6fee31f643,bloomfieldgardendesign.com,RL,6
91a72d9753718506,bloomfieldgardendesign.com,RL,2
aa588fc41983cca3,bac.com,RB,2
e8b9d1591baf37d6,bac.com,RB,2
12dba62e28d36243,bac.com,RB,2
882312f0dee772ea,bac.com,SR,2
8102e81478c5c47c,bac.com,SR,3
f52e476d28272a8d,bac.com,RB,54
9c03420b47bbd221,agenciauto.com,SR,1
b0e97046deb00660,2is.us,SR,1
83e581fb446ca7e9,amybanks.com,RL,5
22c13d85a94b6c3b,amybanks.com,RL,6
3c55576b5136c28e,amybanks.com,RL,4
dc5490052acce63a,amybanks.com,RL,2
09601282b68357a7,amazie.jp,SR,1
e166f08ead8de38d,amazie.jp,SR,1
ef1cb3b9b77c5ce8,codingstaff.com,SR,1
4fca27d18ace384c,co.mu,SR,1
ba100dedc5740fb1,co.mu,SR,1
7825893e0d1d70f9,10-video.com,SR,1
c3eac3a0e1779e25,brunet.bn,MG,1
aec2206b5f7fa234,brunet.bn,MG,1
8d896d7b979ac40b,brunet.bn,SR,1
28bfff9977355889,brunet.bn,MG,143
6d8c89782111c59a,brunet.bn,MG,142
063a1b7da6c42d13,blacklisted.pl,SR,1
639bcea855c2e09c,avantel.ru,SR,2
3ebf3cf5a7b7d5c9,avantel.ru,SR,4
8213cb46aa0b7eec,8hosting.net,SR,1
9e6dd9e062aa3f0f,avih.com,SR,3
28e5e1e139e9da20,avih.com,SR,3
b4da95a9908c59d7,avih.com,SR,3
6e3b409cf9031743,avih.com,SR,3
4a578f2868788f5d,cgonews.com,SR,1
f93d68ac74099ead,cgonews.com,SR,1
e0646d90c45d0c53,acsalaska.net,RB,1
96d362fb044b0c23,acsalaska.net,RB,1
be42c1ec6b96ddac,acsalaska.net,RB,1
4f0d56978ef11d74,acsalaska.net,RB,1
2851ca2d318f3ad4,acsalaska.net,RB,2
22a5ec581355dcaf,acsalaska.net,RB,2
95b83f5ac60d7b36,acsalaska.net,RB,1
64b35d2b172269b0,acsalaska.net,RB,1
8ba0bb08ca22b239,70mb.ru,SR,1
730068d4ea1b77ea,bestwinningoffers.com,SR,3
5d1563ca26ca52e2,bestwinningoffers.com,SR,4
be2379d515d7b037,com.ai,SR,4
d2fd3db8d24f1aaf,com.ai,SR,4
b6083f6f2f817eb5,com.ai,SR,4
5abd974f4bc8433c,com.ai,SR,4
d9ac937cf014d273,com.ai,SR,4
6e724079abe99a96,com.ai,SR,1
dd1be62cd9e32d47,com.ai,SR,1
16516ffc5c670ba3,com.ai,SR,1
d8165fd2b5c21d51,com.ai,SR,1
bf62c9e4a8909185,com.ai,SR,4
4b2bde85402e373e,com.ai,SR,4
431681668cf1402a,com.ai,SR,4
d68bfeaba78afed0,com.ai,SR,4
b1c4473c11d6952d,com.ai,SR,4
3d926054bd8b3cce,com.ai,SR,1
9202da2615f342a6,com.ai,SR,1
9052e9b0cc3fefe4,cn.com,SR,1
d70db6fc04fab4b1,cn.com,SR,1
825cd042cb23ed36,cn.com,SR,1
14d0e1c226c58b88,cn.com,SR,1
7f03f4887a2e409b,cn.com,SR,1
1f76c4d789a59715,cn.com,SR,1
90bc00838af9bd1f,cn.com,SR,1
749c9d3b5739bb14,cn.com,SR,1
79309d0038eccc16,cn.com,SR,2
e9b49f456781dea4,brown-pride.com,SR,3
647f5c39d0fc950e,brown-pride.com,SR,3
13cbb2a771627456,brown-pride.com,SR,3
e3e463956fdf9bfd,brown-pride.com,SR,3
d31a23b7a79d3e5a,bellemaison.jp,SR,1
fbcae501f37bfca6,bellemaison.jp,SR,1
843b701796727c80,bellemaison.jp,SR,1
e88aa4725b56d220,bellemaison.jp,SR,1
5de82ec6c75d1ae8,bellemaison.jp,SR,1
8518f01ad093383e,bellemaison.jp,SR,1
8cc503190e4e9c14,bellemaison.jp,SR,1
c43519ca6e5631d2,bellemaison.jp,SR,1
4abd31f9715ce1bf,berklinefurniturestore.com,RL,6
bee99b1915991c72,berklinefurniturestore.com,RL,8
dd575f4b6053449b,berklinefurniturestore.com,RL,5
e386073ff0f85de0,berklinefurniturestore.com,RL,3
e8f4ba35f26b7a4d,atikotek.com,RL,7
8d3b3fc77426d130,atikotek.com,RL,4
ba089f5ab269c8fe,atikotek.com,RL,4
b73deb11f3e8dec2,atikotek.com,RL,2
97182d5704e3c36d,co.gg,SR,1
ad71f583da35c631,co.gg,SR,1
af11b905d30a83da,co.gg,SR,1
b90eb89e796bc0d5,co.gg,SR,1
cdba7752c2168115,co.gg,SR,1
85a83c65b259ad53,broadridge.com,MG,1
dcac8d2b562fc5dd,broadridge.com,MG,1
7ac8f586d9d0887a,broadridge.com,MG,1
203f4bd016e301a7,broadridge.com,MG,1
cfd3b83dac4a8447,broadridge.com,MG,1
c242e5af7199d013,broadridge.com,MG,1
c2e4ff42a50f746e,broadridge.com,MG,4
46cbccd4e35b0dbc,broadridge.com,MG,4
fd7c1a7abd7311d9,broadridge.com,MG,4
6a92896db5d181a1,broadridge.com,MG,3
cda1a06b811e1502,broadridge.com,MG,3
0d0a158a9d867278,broadridge.com,MG,3
bdee1d2ae1ee6f76,co.ca,SR,1
212f03b366a36039,apollogrplegalinfo.com,RL,8
f3c15814d23cfe0b,apollogrplegalinfo.com,RL,9
d749e188920b2950,apollogrplegalinfo.com,RL,7
29972894bd064aab,apollogrplegalinfo.com,RL,3
85551522e1d61d1d,aiwill.com,SR,1
1c6b84838ce04500,aiwill.com,SR,1
d985bdcb6ca84af1,3bureaucreditreportsplus.com,MG,1
b4a9674e5f549ab3,3bureaucreditreportsplus.com,MG,1
0fdfbfa4f1051ebc,3bureaucreditreportsplus.com,MG,1
d0f5903303975e7a,3bureaucreditreportsplus.com,MG,1
504dee9d2eb82741,3bureaucreditreportsplus.com,MG,6
f5e6f43d2b8ef826,3bureaucreditreportsplus.com,MG,5
da96355ff353de4d,3bureaucreditreportsplus.com,MG,5
822c4fcd518d51cc,3bureaucreditreportsplus.com,MG,4
5ebf4e6c2fea3f0a,bmg68.com,SR,1
4970e9719f415386,cmje.com,SR,3
ebe5b546ee829674,cmje.com,SR,3
bb256a28068ac5fe,cmje.com,SR,3
189353bd23c5c9e0,cmje.com,SR,3
0d49868f575f844f,ckdw.com,SR,3
5996e7c9c4c46d2e,ckdw.com,SR,3
05c67a5abe79d8d3,ckdw.com,SR,3
5b619055625fecc8,ckdw.com,SR,3
389efbb0cc6b752f,apuj.com,SR,3
120db05a4ba1a1e8,apuj.com,SR,3
74a239cef2b35031,apuj.com,SR,3
5b8aafa8e214787b,apuj.com,SR,3
98575f1694af4e9e,chchz.com,SR,1
5b3813e4cc622eeb,bfcms.com,SR,1
7d6c8c1395ab4277,apvk.com,SR,3
ce4cc84338c45ffd,apvk.com,SR,3
da1fe9485954c7d8,apvk.com,SR,3
f056979163d00a39,apvk.com,SR,3
aa125a61a31f5d17,536g.com,RB,1
389e24d29a005330,536g.com,RB,2
35d5db1d4e4705b1,536g.com,RB,1
86f3ed1201b579fe,bijc.com,SR,3
d42ca9f9417577be,bijc.com,SR,3
fbc7a1d4b1026a54,bijc.com,SR,3
c620a2bb5459783b,bijc.com,SR,3
4b76cd11e0ddbf70,bounty-hunter.net,RL,6
0dc856458bf823bd,bounty-hunter.net,RL,8
957399d731dca65b,bounty-hunter.net,RL,5
3e5a4e7dbf48334c,bounty-hunter.net,RL,3
c93f5b9df41c8134,blog123.jp,SR,1
0b61214fb98329e5,blog123.jp,SR,1
28bae50c6905cd50,bmcdn.jp,RB,2
765eb71364f772cf,bmcdn.jp,RB,1
90377d54b6b3a67c,bmcdn.jp,RB,2
d8c2c4e7cb4e1496,bmcdn.jp,RB,1
d0cd8dec4290cc87,car-tips.biz,SR,1
1072fb93cc017fb6,45969.com,RL,11
5a0437343e0d5b87,45969.com,RL,10
c4b409cb11ef24e5,45969.com,RL,11
55e0532f79a2acf0,45969.com,RL,4
03eb8ee28cb325fc,45969.com,RL,11
0ad409c15da17dd1,45969.com,RL,5
b31ee7104f11e9fc,45969.com,RL,1
d2703b10af67df5f,45969.com,RL,1
d78aa792bf66348b,45969.com,RL,3
45b92aaa7648b2cb,45969.com,RL,1
598d5ad209555324,45969.com,RL,3
5a0d180a8fe23274,45969.com,RL,1
a5436bcac40821cf,aid.pl,SR,1
1623933b86fa4fc4,aid.pl,SR,1
04a874d2616ad3be,aid.pl,SR,1
afca95f1bd0cbe92,aid.pl,SR,1
215213a699869263,aid.pl,SR,1
ef89bf6626e2a908,aid.pl,SR,1
4b1a4c26c85b50e9,aid.pl,SR,1
bdd73c3056aeec6e,aid.pl,SR,1
c5c3937f1ea44d03,aid.pl,SR,1
57b250de8fdb61bc,aid.pl,SR,1
0f5c9ce3480f0bfd,aid.pl,SR,1
e34272561a910808,aid.pl,SR,1
33d19a0023e45bb9,aid.pl,SR,1
5ce1780723987798,aid.pl,SR,1
55a338f299e17638,aid.pl,SR,1
49a651e57be4d096,aid.pl,SR,1
9ea450e61a0e620a,aid.pl,SR,3
657e9f2d1e1b2660,aid.pl,SR,3
92a54b99dc50557c,aid.pl,SR,3
3957a05a0d44c716,adobe.com,MG,1
0917de6f23e0fee3,adobe.com,RB,2
6d9dfe106d3d8780,adobe.com,RB,2
46c0fad7cc1886ed,adobe.com,RB,2
dc2cc68843b16338,adobe.com,RB,2
9591fb01b0df5fc7,adobe.com,RB,2
af817bbf0be1c120,adobe.com,RB,2
7655be873b839edd,adobe.com,RB,2
13813b3b6666c536,adobe.com,RB,2
