k,queries,concrete_nodes,concrete_edges,srag_nodes,srag_edges,node_reduction_pct,edge_reduction_pct
1,3,10,7,5,4,50.0,42.85714285714286
2,7,26,19,5,4,80.76923076923077,78.94736842105263
4,21,82,61,5,4,93.90243902439023,93.44262295081968
8,73,290,217,5,4,98.27586206896552,98.15668202764977
16,273,1090,817,5,4,99.54128440366972,99.51040391676868
32,1057,4226,3169,5,4,99.88168480832938,99.87377721678764
64,4161,16642,12481,5,4,99.9699555341906,99.96795128595464
