region_name,nodes,edges,edge_node_ratio
50ci.com,12,11,0.9166666666666666
batistainfo.com,13,14,1.0769230769230769
carbi.com,20,21,1.05
blackbabe.de,12,13,1.0833333333333333
cloudmusic.pro,15,14,0.9333333333333333
adpersonam.org,13,12,0.9230769230769231
allopurinol.de,12,13,1.0833333333333333
baseball-reference.com,28,32,1.1428571428571428
ax111.com,16,17,1.0625
7xad.com,6,5,0.8333333333333334
blackcatclub.org,13,12,0.9230769230769231
0523u.com,8,7,0.875
coaday.com,17,17,1.0
coachdiaperbag-coupons.com,11,11,1.0
69grad.de,45,58,1.288888888888889
brainiax.com,15,16,1.0666666666666667
candylips.com,12,13,1.0833333333333333
aborrecido.com,12,13,1.0833333333333333
aymnry.com,11,12,1.0909090909090908
afgview.com,11,10,0.9090909090909091
aiccinc.com,18,17,0.9444444444444444
cepid.com,18,19,1.0555555555555556
5000dy.com,5,4,0.8
689a.com,13,12,0.9230769230769231
cichewicz.ca,13,12,0.9230769230769231
acgltd.com,19,18,0.9473684210526315
ahannan.net,16,16,1.0
clubreposoir.ch,17,20,1.1764705882352942
bummm.info,28,34,1.2142857142857142
allskin.com,17,18,1.0588235294117647
brk.com,12,13,1.0833333333333333
bstc.com,20,21,1.05
123fb.com,14,14,1.0
clubpinguin.es,12,13,1.0833333333333333
babesteenagers.com,13,12,0.9230769230769231
cncjn.com,13,13,1.0
bonbonfemme.com,17,16,0.9411764705882353
ansl.info,12,13,1.0833333333333333
alti.info,12,13,1.0833333333333333
chablis-the-french-chic.com,21,20,0.9523809523809523
0m0d.com,14,15,1.0714285714285714
28dayslateranalysis.com,21,20,0.9523809523809523
45941.com,12,13,1.0833333333333333
beteilig.com,15,15,1.0
arcatas.net,12,11,0.9166666666666666
bul.de,14,15,1.0714285714285714
alleine.org,12,13,1.0833333333333333
blueciel.com,15,16,1.0666666666666667
antropologia.org,16,15,0.9375
bukittinggi.de,14,15,1.0714285714285714
buckinghamnicks.com,14,13,0.9285714285714286
cancunhoteles-mx.com,10,9,0.9
calpinetech.com,15,15,1.0
1-amateur-nude-chats.com,12,13,1.0833333333333333
christianguardian2.com,22,21,0.9545454545454546
citygate.ca,15,16,1.0666666666666667
americansports.org,10,9,0.9
chileactores.cl,15,14,0.9333333333333333
454zy.com,4,4,1.0
bleusyrus.info,15,14,0.9333333333333333
75112.com,11,11,1.0
agoomo.com,15,14,0.9333333333333333
barockkunst.de,9,8,0.8888888888888888
blagpanorama.ru,15,16,1.0666666666666667
cancerhelp101.com,17,16,0.9411764705882353
behavioral-or.org,10,9,0.9
asock.com,13,14,1.0769230769230769
18mona.com,18,21,1.1666666666666667
bhall.com,14,13,0.9285714285714286
adultindir.net,13,14,1.0769230769230769
ascending-star.com,17,16,0.9411764705882353
badmonkeybistro.com,19,20,1.0526315789473684
buy6.com,12,13,1.0833333333333333
asiaia.com,20,19,0.95
33-33-33.com,12,13,1.0833333333333333
b474.cn,5,4,0.8
72505.com,12,13,1.0833333333333333
actinicexpress.com,24,23,0.9583333333333334
awalhosting.com,21,21,1.0
boardgames.fr,12,13,1.0833333333333333
basketballguy.com,15,16,1.0666666666666667
berichten.de,12,13,1.0833333333333333
chinasayno.com,19,22,1.1578947368421053
anuf.com,12,13,1.0833333333333333
aneo.net,20,21,1.05
c1779.cn,5,4,0.8
bucara.de,16,15,0.9375
antinomy.com,14,15,1.0714285714285714
blouyobs.com,21,20,0.9523809523809523
1onlinedegree.com,10,9,0.9
bublik.de,15,14,0.9333333333333333
bj59ad.com,7,6,0.8571428571428571
alhoob.com,12,13,1.0833333333333333
apsnygov.org,12,13,1.0833333333333333
augentraum.com,15,16,1.0666666666666667
activityebooks.com,17,16,0.9411764705882353
10fuck.com,13,12,0.9230769230769231
basket-supplies.info,12,13,1.0833333333333333
arcoparma.it,13,14,1.0769230769230769
cincinnati-excite.com,16,15,0.9375
blog-design.net,17,16,0.9411764705882353
addhq.net,7,6,0.8571428571428571
aowcincinnati.com,15,16,1.0666666666666667
blacklisted.pl,26,29,1.1153846153846154
classannual.com,18,17,0.9444444444444444
bmrtl.com,15,14,0.9333333333333333
babyhao.net,3,2,0.6666666666666666
38abra.com,12,13,1.0833333333333333
classixfestival.de,16,15,0.9375
cheapmountainbikesinfo.com,12,13,1.0833333333333333
c-artpinchuk.org,17,16,0.9411764705882353
ceilingfanonline.com,15,16,1.0666666666666667
1490theoutlaw.com,28,29,1.0357142857142858
bdpress.net,25,27,1.08
caucasian.ca,14,16,1.1428571428571428
ancientguru.com,14,14,1.0
betrates.com,15,16,1.0666666666666667
3ggays.com,15,16,1.0666666666666667
56405.com,11,10,0.9090909090909091
canadianembassy.net,15,16,1.0666666666666667
120filmi.com,16,16,1.0
anhaguera.com,13,14,1.0769230769230769
adno.de,12,13,1.0833333333333333
69560.com,12,13,1.0833333333333333
co.pl,185,224,1.2108108108108109
antonellaclerici.it,25,32,1.28
ambientrance.org,17,16,0.9411764705882353
alzol.com,22,25,1.1363636363636365
c164.cn,5,4,0.8
bangkopost.com,13,14,1.0769230769230769
24worldnews.com,21,20,0.9523809523809523
celticloreandmagic.com,12,13,1.0833333333333333
5i5u.cn,8,7,0.875
av3x.com,21,26,1.2380952380952381
brighten-your-day.com,15,16,1.0666666666666667
armaya.com,15,16,1.0666666666666667
astroweb.eu,12,13,1.0833333333333333
56ast.com,5,4,0.8
barbizonschool.com,15,14,0.9333333333333333
adressit.com,17,16,0.9411764705882353
automufflerking.com,13,12,0.9230769230769231
cicadea.com,12,13,1.0833333333333333
a8627.cn,5,4,0.8
buy-kindle-book.info,17,16,0.9411764705882353
arigatougozaimasu.org,13,12,0.9230769230769231
161sex.com,16,15,0.9375
0504506012.com,16,17,1.0625
55kkz.com,12,11,0.9166666666666666
8npc.com,14,14,1.0
avirc.com,13,12,0.9230769230769231
cavic.com,12,13,1.0833333333333333
0512yuesao.com,5,4,0.8
blognisa.com,12,11,0.9166666666666666
chocoladetaart.com,15,16,1.0666666666666667
basf.com,576,786,1.3645833333333333
a8124.cn,5,4,0.8
atlasmedia.net,12,13,1.0833333333333333
bestprideparades.com,14,15,1.0714285714285714
223388.info,14,13,0.9285714285714286
cmctv-america.com,13,12,0.9230769230769231
cadviet.com,18,17,0.9444444444444444
bortigiadas.com,12,13,1.0833333333333333
ahardcoresex.com,18,17,0.9444444444444444
aphelion.org,12,13,1.0833333333333333
42092.com,12,13,1.0833333333333333
4mind4body.com,14,15,1.0714285714285714
cmperformance.com,12,13,1.0833333333333333
